sample_index,simulation_id,candidate_id,source,source_class,parameter_vector_hash,qsim_sha256
10,DEEPCAL100-SOBOL-0011,DEEPCAL100-SOBOL-0011,sobol_new,broad,c0fc796f6edfc7b57727236862e70ed673ec7442d5df11273271a6bc747cb5e4,9cd2119f341a57c51d967736b36ea193717ba8426d71cdfcc29c27e0717cf613
11,DEEPCAL100-SOBOL-0012,DEEPCAL100-SOBOL-0012,sobol_new,broad,43c7749eb032329123921763e5ed986c96b08a0c4e027d7f8c774d6c440f880f,c3f7b6d2a08a955d19440166988ead9c728b748ddaa8df13c1416c1ca84d06dd
12,DEEPCAL100-SOBOL-0013,DEEPCAL100-SOBOL-0013,sobol_new,broad,6e3d827ccd48e528dfe62c782abe1b2663e9c29ecc146c799cad3aa9c5db4b49,9c66b71581c7036d3260e2307f832228ad41bbebea42952692d88aa79deec4d7
13,DEEPCAL100-SOBOL-0014,DEEPCAL100-SOBOL-0014,sobol_new,broad,d90846c8cdfcba65f3ce9f336293187fa2af1484f7a58d42ca17cb379d3eefcd,79a1f8fd0e628edb57318a6fdc24bb1ff132496bd420a8a682ce50201322ba9c
14,DEEPCAL100-SOBOL-0015,DEEPCAL100-SOBOL-0015,sobol_new,broad,a35da15e416c9a7263d1bb7ea64975e727217d7efed786bc68e42f8877f91e7b,b75cfd7c8173e3dfe6ce4bffe237eaf6b16d5a0d0aeefecc698826e77b05c99b
15,DEEPCAL100-SOBOL-0016,DEEPCAL100-SOBOL-0016,sobol_new,broad,f3534285dfb2f941b8aa08ab47a301bdec86065f3e6a76b2dd8bc8f5f3eb9589,a4ede1d8350b41e444b08faead916095721c10ca1b38338d978fd6f03c5241a9
16,DEEPCAL100-SOBOL-0017,DEEPCAL100-SOBOL-0017,sobol_new,broad,2adeb11a52f94016a479d6cbb67871075bdcfd21d3dd8d87bb3e41e1ea2b955a,0ace79ccbc8ce8f9b30389a59f056b2dd917787c3bf7138e47fce6ddfdcdcb00
17,DEEPCAL100-SOBOL-0018,DEEPCAL100-SOBOL-0018,sobol_new,broad,68801374f4830d123a10a7297e19abfa6389a65f094e6088ac6126ef9c9870a2,e2a5b24d39637e51e8cb33c8a901c14c039f0bf9a885dfbedc90560cd6c0bf3b
18,DEEPCAL100-SOBOL-0019,DEEPCAL100-SOBOL-0019,sobol_new,broad,929ecb458d0870a9149b01a11f9b3f53dfa79e5458241724f96d859e7faf3279,74b66726e0b9e0782bd2023ad41385f1acd511499631e273834b0c8354b2cbfa
19,DEEPCAL100-SOBOL-0020,DEEPCAL100-SOBOL-0020,sobol_new,broad,e1553099d7a8869eb8a207187f65c2c3a6e6885104ae84675e123b51945bc53f,710d2ac1c110f900f9200e6cef731173c31ad2f2759f2f95782cd8c5a6f59856
20,DEEPCAL100-SOBOL-0021,DEEPCAL100-SOBOL-0021,sobol_new,broad,94f0416257a9e20eaf5f6dde7a1caf62cdc4bd82a3e6e2b5cf3d79c086e20be8,1b6a25b114f4ba0f90a3ffed4e72a69209c98d38d25023af019d838662247ba9
21,DEEPCAL100-SOBOL-0022,DEEPCAL100-SOBOL-0022,sobol_new,broad,d6a6d52255d590e2d52397304dcd8e3f284c36dd80258f0926ee20b2d597d354,6c4be3b14e7ff3718b3684994cf415cf3b5d2217a5a173c9889caa5fe213d9b2
22,DEEPCAL100-SOBOL-0023,DEEPCAL100-SOBOL-0023,sobol_new,broad,43aa9df7ed00b543046a99158cea8ce4e3d702aa8d966d240243d42f41ddc6f4,02b0acb4a294dc7c041f3437fcdee13dfa6c25a917c48101bfcfd9cdf6c77e78
23,DEEPCAL100-SOBOL-0024,DEEPCAL100-SOBOL-0024,sobol_new,broad,ddd5de45f2b8cc43a1f022023b0e1c0a0c7b95c741e86bf2487388b09618b39c,5acef55f9919eacccbe8b91b1fc433841048d0b675a07cdc5d156675249a6c39
24,DEEPCAL100-SOBOL-0025,DEEPCAL100-SOBOL-0025,sobol_new,broad,8acf70d9ddcba240f67cdd90731e6634703b9704b7df57ff9d7204909b93f723,f05dc10883cfa9fb3b0dd9adddc0397642342b13e9586b55ee841a0abaefd8c9
25,DEEPCAL100-SOBOL-0026,DEEPCAL100-SOBOL-0026,sobol_new,broad,79977cada1eec2deb4474cb86abaa5de3aed082efb85593d6a5746f021e7c7f8,128cd48d9544f0eab6876511e8ee1bca15044458fa9870ebd41f24d3917ff039
26,DEEPCAL100-SOBOL-0027,DEEPCAL100-SOBOL-0027,sobol_new,broad,1c2ef98d6bb0cdb0b1f049ab5155269dd86be525d473798ac2361be3eb48268a,9d048e756bcc1bcc2b086660842734ede0113e3260b010fa41e8f81e373721a8
27,DEEPCAL100-SOBOL-0028,DEEPCAL100-SOBOL-0028,sobol_new,broad,716bcb42938b9a38ccde48e786ee221a17fbb6f4e1cb726eea20227231465711,70a2b8881ad70a391d5bba235a25761510d881d80d1dc0ad5e2f51a02f4fec43
28,DEEPCAL100-SOBOL-0029,DEEPCAL100-SOBOL-0029,sobol_new,broad,39631d8f4b18b59bbc45bf10f5fbd09c5a90d44e845370fc29b10e1799af4d2a,6c13cd07b136d17cfeb1d5eb253b6b7445be5f4082de0e52914a3f60d57ce09a
29,DEEPCAL100-SOBOL-0030,DEEPCAL100-SOBOL-0030,sobol_new,broad,5bf8a82e444ed44e56fde5f5e522d0ea11aa6724bb82ee0482cfb4b66fc0b5bc,681ca8fbb886bdcbfb6fd2106a3f44a2fe9ebbe18731fb430e723769d2d21dc2
30,DEEPCAL100-SOBOL-0031,DEEPCAL100-SOBOL-0031,sobol_new,broad,85ad3ad58358a5022610c263ff2f5a30fada10dce124b3fb532ee586bbc2a333,ffb6ee6d716a63e4b84f8cab07521a8b86b1163d4a25ffccec47b50a0e90bec6
31,DEEPCAL100-SOBOL-0032,DEEPCAL100-SOBOL-0032,sobol_new,broad,00d17758374326808ee214dd824ce714206c0e667f87f89739d247b049c5306c,4219dffe4e34b5e0bf937398f5c12a579ffa83923d63f492bf85ab34447a2bfd
32,DEEPCAL100-SOBOL-0033,DEEPCAL100-SOBOL-0033,sobol_new,broad,9bd7362f2148adbe0ec1e122f066737aaca568ce82b56df5b5d4685d82c2fd99,9378430d81461da68c1a03698df79a043cca7e359e8dbde522972bbd1ad9018c
33,DEEPCAL100-SOBOL-0034,DEEPCAL100-SOBOL-0034,sobol_new,broad,41ba28eb149e449c8ecfde40075d918face56584f3c4dbe69d130162dbe745ad,b325581ae64e1fe071c430005df7d4a9b0532ac24b645445a12c559de039806c
34,DEEPCAL100-SOBOL-0035,DEEPCAL100-SOBOL-0035,sobol_new,broad,7f7fb4b9ebe70285be29f424167b46cb460aa5e013581800b5b4b7cb20cceabb,4e6c1fd641f254726b32bcf28ccce3689ff0a6d93e027ed1f666023a2315b2b5
35,DEEPCAL100-SOBOL-0036,DEEPCAL100-SOBOL-0036,sobol_new,broad,814d1699685385fd40296d639e5e007d992780ce089ebf60c666d802bad66208,69757be4fa6243af0e3c5c07de9cbb5142465288f269f2cbeeb864a1195f6692
36,DEEPCAL100-SOBOL-0037,DEEPCAL100-SOBOL-0037,sobol_new,broad,e19ef7b786e013b56799adf987ffa06764d1a2532dcf5d6a1558eb7453b06741,e13dedea7cfd4fce3bacf581f06d68cf266a458164d7a25ac4af39f1efd708b0
37,DEEPCAL100-SOBOL-0038,DEEPCAL100-SOBOL-0038,sobol_new,broad,1837e5eb4be4e626f68459ee9f451f22371dfb8cf2b28395efaec314dc6de5ec,a6fe0d328b6afede0650d1a346a66a278431fcdc8bea4bdee8a2ffa18577f8bf
38,DEEPCAL100-SOBOL-0039,DEEPCAL100-SOBOL-0039,sobol_new,broad,10305b766bcf3a2d3695758a3bfce17f916a24956f2550e87b019e1fc522ce39,22ac77dfd69e8585e002aef44d3a1544b7a970877e4e287f176a3740402f74c8
39,DEEPCAL100-SOBOL-0040,DEEPCAL100-SOBOL-0040,sobol_new,broad,65d99cf8294cd09d96feb0df167096b61fe9c1f1c6a014b3d9c2d328eef07cf4,77c1a01f4d97ab54f79bffd7364c902d09f4dabe4f30e3671ce2ee2ba8c46c03
40,DEEPCAL100-SOBOL-0041,DEEPCAL100-SOBOL-0041,sobol_new,broad,dfcdbd28b98d7576c6af01588d204fee044d0c955823b99f64611e09276910ed,a05c203b7e80cb6642f85878a008bd349b76a96489c8274c22179ad54ed2028f
41,DEEPCAL100-SOBOL-0042,DEEPCAL100-SOBOL-0042,sobol_new,broad,54680503db08bb86c725b9deef9299381c02155a6caced546c6507627a56afb8,deaa5a0995e20ea33edb736ef6aa4e4456e43c3d180433448933f552a3158fbe
42,DEEPCAL100-SOBOL-0043,DEEPCAL100-SOBOL-0043,sobol_new,broad,8a11c2253581244b27585cae8a49cadbf667a0fcb6ebad2117f6cd5729c79540,be72b4f2e424ad6aa9f23f7b424067299327fc243e76ad85558566f2f5a23dfa
43,DEEPCAL100-SOBOL-0044,DEEPCAL100-SOBOL-0044,sobol_new,broad,17e4a172d1dd063552498d4973cca64cae650bbd43e6162ebefe913d3c946971,41f6aabb2cf5044746e570358f863d9372c28cabfb3d018202e5cb6d7f389bc4
44,DEEPCAL100-SOBOL-0045,DEEPCAL100-SOBOL-0045,sobol_new,broad,2bc0c94bbdaf10695e5b079149cb75250c41bb95d0208162b14bccb2fa8e1b8a,ed1e85ae8cc2490c380287f97638fc911067c698854126555d303f23be0a4b14
45,DEEPCAL100-SOBOL-0046,DEEPCAL100-SOBOL-0046,sobol_new,broad,fe2b3c7ec7b7ff348cae83067ffc1ab1b21f0da1abc250bbb1813ece18ab2943,2f15b0a8f0a30a67ac5895441c7273c4590417157c966fb16fb6340d59b54777
46,DEEPCAL100-SOBOL-0047,DEEPCAL100-SOBOL-0047,sobol_new,broad,df65c3a876f12afd832dc88a3ed7b6ace20487cb3987249dd0f0e6dbce9427a8,22123eb47b3f759e8c2b817ed7695d325b7210273299ddf02af2f17df57d22a1
47,DEEPCAL100-SOBOL-0048,DEEPCAL100-SOBOL-0048,sobol_new,broad,918a2dd550ac94d9e19688fee77a22bc1c369c168a724aed7d6a6acc3bcab7e0,ed9e7a9671ff46abe46768e9fe4545ae15883d8061a832fd335b138443d1d657
48,DEEPCAL100-SOBOL-0049,DEEPCAL100-SOBOL-0049,sobol_new,broad,b968a29292ae5737fb64b15238f8694680b47e512447d49c66dac93e1d116c3d,9eb9b628ddb85eb73246d86c3dc8cf8697bc21fd143ea78d0f788411bea5012d
49,DEEPCAL100-SOBOL-0050,DEEPCAL100-SOBOL-0050,sobol_new,broad,2fae8cdb454be04c5dfae9779746e3f782e9bc967d6f8058b4a3aee75150df16,5be7394ed65818107f1305341db67b2afe7b0af4078ee3479df7797ba2390d70
50,DEEPCAL100-SOBOL-0051,DEEPCAL100-SOBOL-0051,sobol_new,broad,4a8b22a51a975a18ce5c1d085af8e252613d8011b97627a1caa5640799c94ee9,622e6bfb3e3da2b1d262c2bf6462316ab5df2be31c09d5007c018b2f8447bcf6
51,DEEPCAL100-SOBOL-0052,DEEPCAL100-SOBOL-0052,sobol_new,broad,a9a9a0f19d299d00f6bbeba7c1a45625b0e812568b774f1483954574d35f7cbc,5c0f1f1e0b9ee4675954b56d610e74b136ba3b06e6947daed0c8441395f75f67
52,DEEPCAL100-SOBOL-0053,DEEPCAL100-SOBOL-0053,sobol_new,broad,1ab7a1fdf6c8246da7e19c4e2f8adab758733d96576d6600ef1b1ea445204034,c81dd8bdb2925df17787fd2d57fdc77e77f586c494e7f27dbcb8bcaa26136379
53,DEEPCAL100-SOBOL-0054,DEEPCAL100-SOBOL-0054,sobol_new,broad,5f059b04eac3f7095e311957d8a4d44eb2716dd219f8fe543f1281b04e82248b,0c664376467f03d0b946741a2283e2450dbe03ea6d057b274378fec8ceca0a05
54,DEEPCAL100-SOBOL-0055,DEEPCAL100-SOBOL-0055,sobol_new,broad,759635734d934b762d51bd330706b292ad18d82b651ee671d16c54d73645539d,d1aa8bf907fb4e5a1f40360351f3162bc0a8a34157925fe3341921a069a251ac
55,DEEPCAL100-SOBOL-0056,DEEPCAL100-SOBOL-0056,sobol_new,broad,35626ecddfa8222cc2e6546e43443af5ab4410d15242ee5c7a0844900c699ea7,9e930684a7b4e3308bff92e91bfaaa80c7a38976c27459c62bf229895a2322d5
56,DEEPCAL100-SOBOL-0057,DEEPCAL100-SOBOL-0057,sobol_new,broad,ef1969e5c6ae339d90ef59a5a58d857cf945319d35a7e75b3190c2fc74f2bc71,1667f0c5aee8ffbda7db2a722dedee2bfc512116ca0c9e6b69b26e6b30b20b1f
57,DEEPCAL100-SOBOL-0058,DEEPCAL100-SOBOL-0058,sobol_new,broad,f824aac9ee0965da2a4d740aaac976a1e516ea72194af475f8901414c4135b5b,d6a7c656bbcdf149b8f621b05045d08423b45a636c6a1cef24d04572f43e42d8
58,DEEPCAL100-SOBOL-0059,DEEPCAL100-SOBOL-0059,sobol_new,broad,5df4e3b69aa5ba50ba1f628e2cd66c222bfacf6534f9c4a7a4508bf8fc8dbbd5,f12da488d8232aff70961516c6cc62dc1929061811eee8f5f5a6d4c65556cc4d
59,DEEPCAL100-SOBOL-0060,DEEPCAL100-SOBOL-0060,sobol_new,broad,55db147e55bb1c14be387e9f384be21960b4fc57d39cd7529b8bb2e9d1e8a859,dca66b7e0ce36d2e1b033c8b9439d3f905d16786af96853205945e9cad2fab45
60,DEEPCAL100-SOBOL-0061,DEEPCAL100-SOBOL-0061,sobol_new,broad,fa137a12f678a10253884522322d4b311730203a35474d566d8575f29a7d1959,71cfede243e98363bf478e87c4f2ba61e4979b1854460dcac41f43bfd875db97
61,DEEPCAL100-SOBOL-0062,DEEPCAL100-SOBOL-0062,sobol_new,broad,13945016a87af29a842d24b8406d3bc992f458df4cde4265d22458535229ec12,4570ad86fa73681c5269ad6c529a00459248c82c19ed46827d2be3f39818169e
62,DEEPCAL100-SOBOL-0063,DEEPCAL100-SOBOL-0063,sobol_new,broad,0eca39350dd15f6a00dc3d17ed51da88f01df6ded905cfc27dd3a6c2055f6efc,81a729340c70569d7c3872395bce0e5bc4581af1419df3f7f561d059046d6c27
63,DEEPCAL100-SOBOL-0064,DEEPCAL100-SOBOL-0064,sobol_new,broad,6b0d61c49c0825e01a7852593db7e57deabeff78d8d86796911dded452df3f22,ac9b625790b4034127fbd6ea8ae07d9e5544b60a7adeda4ed1be7c54ef8bb889
64,DEEPCAL100-SOBOL-0065,DEEPCAL100-SOBOL-0065,sobol_new,broad,0087616550f2f42c3fef83e5b96fb847395401c2305f92f1ef448af898af63b8,454035de9f3161b54d269581f3da7621889c54e4dd4cbf78c07f344934d18647
65,DEEPCAL100-SOBOL-0066,DEEPCAL100-SOBOL-0066,sobol_new,broad,a4478fa43b634db39428b829ad810067563c1a36ce268c87436b3aac9feebd3e,6f05592769c0608bf446ca9ef0ca873e7d08358129f36e303a83a602b5cca0bf
66,DEEPCAL100-SOBOL-0067,DEEPCAL100-SOBOL-0067,sobol_new,broad,8dece40090fbd281a6669901391e603757a8fd3582742664173ddd5d6494477d,4e4d9a510fa6e990510792362d545f2e6101a83083520fc2fcd68e4765e0da3b
67,DEEPCAL100-SOBOL-0068,DEEPCAL100-SOBOL-0068,sobol_new,broad,42ea0634b60da2994a5567901a2cc81dfc1186bf7d4dce3953604719cd6b48ff,6a375f2c5a5d5c4f0b8bf3fa3fa722710bb36c26cf9405897c017e581070cea9
68,DEEPCAL100-SOBOL-0069,DEEPCAL100-SOBOL-0069,sobol_new,broad,0e61c7000ede1f448ba4d8c0b1c910f5065303c35b6072d67dcda351af777d70,1d859115b12972461c5c3acd8785eccca8d46d76096d065d84fa41aab43cfdec
69,DEEPCAL100-SOBOL-0070,DEEPCAL100-SOBOL-0070,sobol_new,broad,93b0b201b934d6f7ed0c88287de3c6e9bfadb596a99145e234f86ed207621430,b88e53cf3121bbe011118dd4b4b6d71691ffd3648f69c272c09f6bc4c99475d1
70,DEEPCAL100-SOBOL-0071,DEEPCAL100-SOBOL-0071,sobol_new,broad,438bc410ce122cd20c16202ea8b26b86419f879e50bf0d0587a18d3053492b3f,2ffd5b763e548332b0d480fd69c0e127001bbfc6a148d890e4f5c3a758bca3c8
71,DEEPCAL100-SOBOL-0072,DEEPCAL100-SOBOL-0072,sobol_new,broad,228508178e5105007fe9411b2b56468c91db58bb78232ac11a6c5878aabde3fc,061180e2652c0d8217df34cd06c486dea983a9d4f8e37e0f31e9dda9df6b26a7
72,DEEPCAL100-SOBOL-0073,DEEPCAL100-SOBOL-0073,sobol_new,broad,0dd21f4b1de55293ceb4bb06978bb20c44080bc8a9da5001d18718327586af11,6b273c6d2f8302182b15640e87a3d96d2820fa31f7859208b5f810649c27a310
73,DEEPCAL100-SOBOL-0074,DEEPCAL100-SOBOL-0074,sobol_new,broad,51d302c9c2950ec6782982802cf31c7a69523d8189054760f55d451f314e8938,4091f6cdfcc849974dabe6dc9cbf849a5ef1f5e0de4e446ab67797d624ab1b77
74,DEEPCAL100-SOBOL-0075,DEEPCAL100-SOBOL-0075,sobol_new,broad,cebd47e9e00858ba3cbb53014b038062f8e68280432343e20f6b77da993a899d,b4a58f3c09610974c8af7461ff544ed9919c99092fa03b4720ccedda71da9ffc
75,DEEPCAL100-SOBOL-0076,DEEPCAL100-SOBOL-0076,sobol_new,broad,06299d449f95fb26d2503b40bff957a3f5f8c924241b8251f7c2d2b89e9fc675,3fe07020a47511691808e088090c04fd7987e399fd955eacfe7cdc6d9cb82817
76,DEEPCAL100-SOBOL-0077,DEEPCAL100-SOBOL-0077,sobol_new,broad,e7f4d1d837d532027e5925cf56564ceb4904340de2d9f3ab770dcc9afa1c5cd0,28de63b7d399ff158bc6f1a3df5dcd8dd52f53e0e87ae23b4478218444379471
77,DEEPCAL100-SOBOL-0078,DEEPCAL100-SOBOL-0078,sobol_new,broad,a33a4c7582ef37e59bb9e6c41a724464ee441966f027a1ade3a2f7f12cb4834b,f15023b6518095d75d1b1949e15223fc09a9fcf958702ab5f0055e549971643c
78,DEEPCAL100-SOBOL-0079,DEEPCAL100-SOBOL-0079,sobol_new,broad,8d0bcaf89d4234706aca6722da0cf897da872b8f634266070de4fae513d25269,a6ecc859e69cc8969cc548e3369571908f45186a23945826c866e3bba9c43b04
79,DEEPCAL100-SOBOL-0080,DEEPCAL100-SOBOL-0080,sobol_new,broad,accc7013474e45b16b495b599f2da09d5dc808f9e379543f8e1532079e727a92,efaee48621086737978ee846d90321925b79b559744e44d101aab75544825a88
80,DEEPCAL500-SOBOL-0001,DEEPCAL500-SOBOL-0001,sobol_extension,broad,e6b3a508b1b1ccf4293300c6e36c1066bfa879e3f542533ad14b5eacadd5bc91,ebe2c206c14f18ec32112cacb81cac23a4d098b6762a77248221518b550a535b
81,DEEPCAL500-SOBOL-0002,DEEPCAL500-SOBOL-0002,sobol_extension,broad,0ab4ca33740c0cc97ff5039a19466a7d872c87353fc07aac4e10974e01153572,25cdce4608babf0aacad345380ee9e11aecd1b702f531b672878c3434384f682
82,DEEPCAL500-SOBOL-0003,DEEPCAL500-SOBOL-0003,sobol_extension,broad,c533b7038430467406be48d76722b865890edad31b21b6122b89b784fc517de3,5ae39443ea944e6dbf097c26e1c2fc577600205f177b8d683fd3847875bfa2b6
83,DEEPCAL500-SOBOL-0004,DEEPCAL500-SOBOL-0004,sobol_extension,broad,a9bd11ab1f64083bb9f1dc74e42bf785aae061557b4623ada104315137d0df29,eff2a69cd938bf0e7cb63f9f707f249f08cc94582ec5912ac3c21f5177bbfdb3
84,DEEPCAL500-SOBOL-0005,DEEPCAL500-SOBOL-0005,sobol_extension,broad,fcfd323b532aa47f76b5c7b65dff17b415fd44c08afdd811aba7f82202f50527,b3f2ad22dfeb5e4ee9adb2ce601094fd3c2c09440711eb4fbdd6b4a2ee245068
85,DEEPCAL500-SOBOL-0006,DEEPCAL500-SOBOL-0006,sobol_extension,broad,5b078b711e462e9a944d2e590dd1d663cc77ec95198b5003c3963786a43e0a0e,214dd5b23c32131ef3d4144ffb8465f4fedbbfedf64ccede9595e2149b3d9445
86,DEEPCAL500-SOBOL-0007,DEEPCAL500-SOBOL-0007,sobol_extension,broad,38e76bea28b75e2faf96c89101f04c07e1a226db283e1e34494600550f7facd2,23fc5bfb9c8981d5451f26333e465f3b2fef2368c7090f64bceb212d5428bc73
87,DEEPCAL500-SOBOL-0008,DEEPCAL500-SOBOL-0008,sobol_extension,broad,bf2b050ef1ce02c771878be47200d874c60eea0cdf655f4ae42fd619cab3df5a,2d9941cc4ca0e2b9a567ba024be83d1b7f793fb8820e7394d2627b020c4ffbcc
88,DEEPCAL500-SOBOL-0009,DEEPCAL500-SOBOL-0009,sobol_extension,broad,f41f915747b41d7dae8913e81c1e662b5888456cbcea84a73a920ebac7d5ff8d,40715a7e74a11530b079b9562035b857eb66a3765730e283c749354438335a8f
89,DEEPCAL500-SOBOL-0010,DEEPCAL500-SOBOL-0010,sobol_extension,broad,234e594b2fe6b1c1da22f1788ea1d4d16dfd42b659808cbef71457d434f08c5d,097f47578feff1485cf258bedd74629b5a8f485e435828f40c6262d5bc03e91e
90,DEEPCAL500-SOBOL-0011,DEEPCAL500-SOBOL-0011,sobol_extension,broad,1d613cf79e972f173f7d24ab7d6aff16d69cec1297c15d51704ceb50db17a134,750c4bb6e53deffcac7b6cbc7c7b29f289d58b7d7e662b258f3f571a569bbaae
91,DEEPCAL500-SOBOL-0012,DEEPCAL500-SOBOL-0012,sobol_extension,broad,03bd88f4b52c81d0fe3d5a78fa623f28a9107bfa5fc810a4d93f58f8b2fa79c3,7823c8f9b96ecaf024a31c49c24f2c47fc7d35ad95a917b82f92c7dc5dad1948
92,DEEPCAL500-SOBOL-0013,DEEPCAL500-SOBOL-0013,sobol_extension,broad,5fc9feb0e84877677ffa21b9113352958c3eb2787e47397183409fa8854b5bf4,f439703ab4f4a08a39f7040a083ef842932d96fc0371b55bce39cad7f4230971
93,DEEPCAL500-SOBOL-0014,DEEPCAL500-SOBOL-0014,sobol_extension,broad,3f27ab5d2dfca52a75b71218525645f44121884ed891cfba32df79502b93a10a,dca69fba03f6bde68f9aba8f5556c9a8f1f092de92420208c4972185a21cbfcb
94,DEEPCAL500-SOBOL-0015,DEEPCAL500-SOBOL-0015,sobol_extension,broad,3ddd60bd54751bce30695f641644ab19568b1fd8843c4f296ddbc9fd2a1e4476,e4f34d40c844224b3d2d3f0e37c654c5712ed72e58cb12ffb10cecf359cf095b
95,DEEPCAL500-SOBOL-0016,DEEPCAL500-SOBOL-0016,sobol_extension,broad,877a9704e76d6cf015c470239d54ef58c4a03a04c80368e9efa7ccc7d1939880,46366ede0be5cce3f29b117c45161485ab6fd3e47917e9e6c8142b683a483708
96,DEEPCAL500-SOBOL-0017,DEEPCAL500-SOBOL-0017,sobol_extension,broad,b24ea2b86ce2765963613186f7e3c0ed28d42876b21a2c85d98aec7bde6375c1,9e8b73f576dc44ea2535796925e97310aa2ae19ebb4db6e8945a439607d1224a
97,DEEPCAL500-SOBOL-0018,DEEPCAL500-SOBOL-0018,sobol_extension,broad,09a2e31b833ecafd94109c0573d54f210c26842298cadaa1a9041abfde8f4e89,e3bea62bf25cb258f47bfb235164956ab060f8d2fd62416d02ba4a8f54b38ecd
98,DEEPCAL500-SOBOL-0019,DEEPCAL500-SOBOL-0019,sobol_extension,broad,1cbb5e59b27e93dd7c85fd77817000f8c018796c1171ad7462804527283ebf48,4dcdd197fa784374147f9844fa8c240bdeb3b59cd54db9e18a5b19daac1d68bd
99,DEEPCAL500-SOBOL-0020,DEEPCAL500-SOBOL-0020,sobol_extension,broad,626a4853971afed540a4a14a2b481a98bcc22e8290e5d05359b4dcdef475ecba,56e62446af9980f7af74928c5f2a07ca8f7919b33bbf35a61ba9d2ca68048582
100,DEEPCAL500-SOBOL-0021,DEEPCAL500-SOBOL-0021,sobol_extension,broad,79c0a72c0153e78af81566f7f7d396d8a88be129467d1555dc005176d82400a8,aca5f1740c95c39fc156c9ccb91f04f7d78b8c0cf9c60c9e640395ddaf546772
101,DEEPCAL500-SOBOL-0022,DEEPCAL500-SOBOL-0022,sobol_extension,broad,008a8db0d1de935784049df654ef4587b370b476e87b9ac18699e5d17e5de636,2d41a54b6682c1e2c1724422ccb776d12d16fbe31801361fda1cecc8337948c2
102,DEEPCAL500-SOBOL-0023,DEEPCAL500-SOBOL-0023,sobol_extension,broad,38d7558b8f79d3d70c29be5f548ebfb5b799eb53f434864653ade51de2637ec3,ba534be7d865e3159c800d5a033654514ce58b02bd8a8a519f9b2f27216f30b4
103,DEEPCAL500-SOBOL-0024,DEEPCAL500-SOBOL-0024,sobol_extension,broad,73ae75536e4ab26b00f9e1f77b63ed7b037cbcaba7f97037b382846be39b1357,d16f77586bef303607c32d7d793b4f0d03df35909855a911bb9237ac95333404
104,DEEPCAL500-SOBOL-0025,DEEPCAL500-SOBOL-0025,sobol_extension,broad,92f81e0767a889c8a64f6961a7ca4b3d870e2314a21092027ca8bf238cf1252a,66c281e8dba161ebf9a8b32e0524174c82d1064e1b637ad69fb323c627d7371e
